code,updated_at,roe,gross_margin,debt_ratio,revenue_growth,profit_growth
688051,2026-04-22,-2.86,,26.6555,,-581.2984
688212,2026-04-22,0.27,,5.674,,-62.8362
301387,2026-04-22,5.72,,57.4828,,33.9522
001367,2026-04-22,13.6,,22.0759,,30.5886
301027,2026-04-22,1.78,,52.6895,,-37.4191
002760,2026-04-22,1.98,,41.6782,,-16.859
300504,2026-04-22,3.33,,31.4615,,42.579
300051,2026-04-22,-0.63,,65.0545,,-173.1184
002955,2026-04-22,1.3,,27.8339,,397.3417
688159,2026-04-22,-0.76,,43.0822,,-70.6917
301248,2026-04-22,1.8,,56.5917,,-27.3931
300398,2026-04-22,4.01,,42.4221,,92.5335
603936,2026-04-22,1.11,,44.2433,,-12.1878
003035,2026-04-22,1.48,,53.5906,,17.7143
300490,2026-04-22,-0.31,,49.5217,,-1310.0146
002478,2026-04-22,0.91,,37.3984,,176.4195
605389,2026-04-22,2.31,,12.2219,,-42.0604
688025,2026-04-22,1.39,,27.7412,,12.0159
688807,2026-04-22,24.4,,21.0928,,-11.4436
600658,2026-04-22,-1.24,,66.5285,,674.2492
300726,2026-04-22,4.35,,16.8612,,5.1342
300419,2026-04-22,0.45,,60.0738,,50.2094
002222,2026-04-22,4.14,,7.991,,18.5307
300483,2026-04-22,1.43,,44.5803,,-20.8459
000159,2026-04-22,0.94,,35.896,,-19.297
688330,2026-04-22,3.27,,12.5662,,61.317
605060,2026-04-22,1.95,,15.5225,,9.4964
920641,2026-04-22,7.19,,57.21,,180.0734
920992,2026-04-22,9.49,,48.1821,,7.9875
002015,2026-04-22,1.69,,60.7827,,-19.1958
002448,2026-04-22,1.51,,38.8534,,-31.6857
920876,2026-04-22,0.13,,43.3074,,33.3635
688158,2026-04-22,-4.34,,35.0819,,
605318,2026-04-22,0.64,,35.0221,,-46.4247
000669,2026-04-22,-1.02,,74.5591,,-132.8498
600696,2026-04-22,2.09,,49.3431,,84.2774
300684,2026-04-22,1.44,,13.0012,,-22.3522
688195,2026-04-22,1.22,,14.837,,36.3403
688163,2026-04-22,0.34,,2.4507,,15.8694
603660,2026-04-22,-4.18,,46.5313,,-1030.4761
002005,2026-04-22,-3.79,,52.5596,,
002730,2026-04-22,0.7,,24.5461,,4.1006
300835,2026-04-22,2.85,,31.3463,,-4.0067
000829,2026-04-22,0.31,,85.0332,,27.9125
688607,2026-04-22,-0.83,,6.4003,,-132.2525
603813,2026-04-22,2.26,,53.5697,,242.5364
603822,2026-04-22,3.0,,62.2775,,35.2655
001270,2026-04-22,1.49,,5.1368,,20.5105
603118,2026-04-22,1.0,,48.7441,,-16.7911
002620,2026-04-22,1.52,,79.0418,,-55.1301
000711,2026-04-22,-10.47,,88.191,,-115.5453
301362,2026-04-22,11.53,,29.5187,,7.1687
920808,2026-04-22,-2.55,,62.7476,,6.3452
000526,2026-04-22,0.27,,87.9577,,-71.8663
301178,2026-04-22,0.12,,14.0916,,-62.2958
300853,2026-04-22,0.1,,36.757,,-91.7948
603158,2026-04-22,1.45,,41.7408,,-39.8371
002960,2026-04-22,1.85,,30.7255,,44.7769
000989,2026-04-22,3.02,,25.5146,,15.6652
003036,2026-04-22,1.75,,44.617,,29.9423
000722,2026-04-22,1.28,,3.0525,,104.549
688135,2026-04-22,0.98,,22.4111,,-28.7984
600343,2026-04-22,-0.59,,38.9586,,-378.8936
600707,2026-04-22,-3.44,,50.9083,,-166.6002
300739,2026-04-22,2.65,,47.188,,176.5779
301019,2026-04-22,2.56,,6.3577,,9.7256
600381,2026-04-22,-1.31,,1.6773,,
002289,2026-04-22,-1.98,,18.9031,,-246.6447
002470,2026-04-22,-0.66,,71.9991,,-146.2071
301666,2026-04-22,-160.81,,58.137,,
002391,2026-04-22,1.75,,35.1337,,41.8102
600510,2026-04-22,0.31,,70.2072,,-93.0227
605222,2026-04-22,3.87,,60.7805,,4.8146
688519,2026-04-22,2.42,,39.4589,,-7.9658
300613,2026-04-22,5.24,,25.5251,,163.652
600183,2026-04-22,3.54,,41.0875,,-11.3726
688677,2026-04-22,3.18,,6.5809,,36.6329
002219,2026-04-22,0.08,,76.5587,,816.2417
920086,2026-04-22,6.07,,15.7918,,-42.5665
600301,2026-04-22,1.34,,35.1192,,659.6822
920693,2026-04-22,3.18,,25.6143,,-13.6553
000762,2026-04-22,5.77,,15.0054,,876.7227
920035,2026-04-22,18.12,,45.2926,,70.7848
300243,2026-04-22,3.38,,46.2654,,2.2951
688343,2026-04-22,-18.2,,30.8716,,
301322,2026-04-22,10.6,,35.3429,,190.055
300292,2026-04-22,-0.93,,54.0534,,-180.6094
688498,2026-04-22,3.68,,16.4057,,51.0105
301092,2026-04-22,1.26,,4.6639,,-17.4903
688167,2026-04-22,0.86,,7.7036,,127.3971
002635,2026-04-22,1.45,,24.3095,,1941.5326
603296,2026-04-22,10.04,,77.7869,,32.934
300478,2026-04-22,1.5,,77.5813,,-87.3759
300700,2026-04-22,2.07,,40.4526,,58.377
002392,2026-04-22,1.5,,30.9647,,-40.9623
002158,2026-04-22,3.4,,43.1195,,22.2504
300113,2026-04-22,1.3,,13.6134,,-6.1157
688398,2026-04-22,1.17,,19.9632,,-66.5731
920438,2026-04-22,3.97,,42.6039,,-22.8262
603333,2026-04-22,0.97,,40.5075,,1087.6048
300767,2026-04-22,2.48,,40.3385,,11.2489
688316,2026-04-22,-14.04,,39.3488,,
002149,2026-04-22,0.79,,47.8389,,-27.9771
600032,2026-04-22,2.52,,69.9135,,1029.7583
002259,2026-04-22,-3.3,,87.6113,,-123.8314
002294,2026-04-22,2.95,,16.9423,,56.0591
603398,2026-04-22,-0.97,,10.9943,,-3813.5614
920106,2026-04-22,3.34,,43.2846,,42.2426
002752,2026-04-22,1.71,,62.7417,,3.3997
688168,2026-04-22,-2.11,,10.4062,,-687.3475
603926,2026-04-22,1.81,,42.0028,,-47.9082
920273,2026-04-22,5.53,,22.861,,56.3166
002396,2026-04-22,2.49,,49.7252,,391.934
000890,2026-04-22,-36.14,,89.1829,,-350.6942
300540,2026-04-22,1.51,,31.9578,,-46.3236
605100,2026-04-22,1.21,,18.7063,,-61.6769
688182,2026-04-22,0.89,,6.35,,-53.6082
600777,2026-04-22,4.33,,54.275,,108.0832
300766,2026-04-22,0.97,,17.6501,,-12.1254
300432,2026-04-22,5.0,,43.7291,,108.7151
920357,2026-04-22,12.22,,35.2851,,58.7156
688390,2026-04-22,0.56,,56.3964,,-89.5515
603688,2026-04-22,3.85,,11.3919,,106.1127
301479,2026-04-22,18.41,,48.2916,,269.992
301469,2026-04-22,11.2,,33.5079,,-16.0413
603297,2026-04-22,3.52,,11.0975,,-55.0364
301217,2026-04-22,1.76,,14.2911,,75.2362
002842,2026-04-22,1.1,,58.4889,,-6.0398
300054,2026-04-22,1.74,,16.2827,,67.5657
603685,2026-04-22,0.46,,49.2703,,-96.0742
688515,2026-04-22,5.13,,39.3837,,-351.0145
600345,2026-04-22,1.06,,9.4149,,274.5467
300953,2026-04-22,3.63,,68.6609,,35.5248
300661,2026-04-22,9.66,,19.8737,,248.0858
300756,2026-04-22,0.26,,39.7342,,-94.3562
688221,2026-04-22,-3.34,,28.2369,,
